class,animus1,animus1_rarity,animus1_upgrade_level,animus2,animus2_rarity,animus2_upgrade_level,bane,malice_orbs,mission_district,mission_type,outcome,kills,weapon_kills,thrash_kills,malediction_kills,annihilation_kills,deaths,perfect_infusions,failed_infusions,times_dodged,duration_seconds
Hellion,Machine Guns,Green,8,Bolt Action Rifles,Green,7,Soul Reaper,9,Foundry Sector,Eclipse Protocol,Fallen,24,16,4,3,1,2,1,1,17,500
Hellion,Lever Action Rifles,White,0,Lever Action Rifles,Blue,4,Farsight,8,Iron Slums,Elite Incursion,Fallen,20,16,3,1,0,4,1,1,10,441
Wraith,Machine Guns,Purple,5,Automatic Rifles,Blue,2,Lunar Warhorn,6,Foundry Sector,Elite Incursion,Extracted,10,7,2,1,0,1,2,2,6,281
Monolith,Revolvers,White,0,Revolvers,Blue,6,Wurm Food,14,Iron Slums,Elite Incursion,Extracted,24,16,4,2,2,0,3,4,44,1285
Arcanist,Revolvers,Green,15,Lever Action Rifles,Blue,2,Postmaster,11,Military District,Incursion,Extracted,24,14,6,2,2,0,3,2,21,705
Arcanist,Revolvers,White,0,Revolvers,Blue,9,Fear & Loathing,9,Wilderness,Eclipse Protocol,Extracted,17,11,4,2,0,0,3,2,8,418
Hellion,Revolvers,Green,15,Trench Guns,Blue,9,Wolfpack,1,Foundry Sector,Eclipse Protocol,Fallen,27,18,7,2,0,2,5,5,35,1215
Hellion,Trench Guns,Blue,8,Revolvers,Blue,2,Wolfpack,7,Iron Slums,Incursion,Extracted,142,78,35,27,2,0,10,18,39,2879
Wraith,Automatic Rifles,Green,8,Bolt Action Rifles,White,0,Korzuul's Head,12,Military District,Invasion,Extracted,9,6,2,1,0,2,1,1,4,251
Immortal,Automatic Rifles,Blue,3,Automatic Rifles,Purple,5,Postmaster,9,Wilderness,Incursion,Extracted,58,38,11,9,0,0,4,7,40,1477
Hellion,Lever Action Rifles,Blue,2,Revolvers,Green,8,Fear & Loathing,11,Marketplace,Invasion,Extracted,41,28,7,6,0,2,4,2,25,1326
Occultist,Automatic Rifles,White,0,Lever Action Rifles,White,0,Korzuul's Head,13,Military District,Invasion,Fallen,53,33,10,7,3,3,5,6,31,1089
Monolith,Lever Action Rifles,Purple,1,Machine Guns,Purple,4,Theory of Captivity,6,Aristocratic Ward,Incursion,Extracted,12,9,2,1,0,0,3,1,12,365
Hellion,Bolt Action Rifles,Blue,5,Bolt Action Rifles,White,0,Soul Reaper,1,Foundry Sector,Incursion,Extracted,109,64,28,17,0,0,7,5,61,2432
Immortal,Automatic Rifles,Green,11,Automatic Rifles,Green,1,Korzuul's Head,8,Wilderness,Lair,Fallen,7,6,1,0,0,3,1,0,18,586
Arcanist,Automatic Rifles,Green,2,Revolvers,White,0,Postmaster,7,Marketplace,Elite Incursion,Extracted,70,44,14,9,3,1,7,6,117,3464
Hellion,Trench Guns,Blue,10,Bolt Action Rifles,Green,14,Farsight,7,Marketplace,Elite Incursion,Extracted,28,19,5,3,1,0,6,2,25,822
Wraith,Revolvers,Blue,9,Trench Guns,Orange,0,Warden,5,Wilderness,Incursion,Extracted,7,4,2,1,0,1,1,2,2,202
Occultist,Automatic Rifles,Green,12,Lever Action Rifles,Blue,7,Korzuul's Head,12,Wilderness,Lair,Fallen,0,0,0,0,0,3,2,3,1,65
Wraith,Trench Guns,White,0,Trench Guns,Purple,5,Warden,7,Foundry Sector,Invasion,Extracted,3,3,0,0,0,0,0,0,5,162
Wraith,Lever Action Rifles,Green,4,Revolvers,Green,10,Wurm Food,12,Aristocratic Ward,Elite Incursion,Extracted,14,11,2,1,0,1,1,0,19,597
Monolith,Automatic Rifles,Green,10,Automatic Rifles,Green,4,Fear & Loathing,12,Wilderness,Eclipse Protocol,Extracted,2,2,0,0,0,1,0,0,3,157
Arcanist,Bolt Action Rifles,Green,12,Lever Action Rifles,Blue,1,Wurm Food,12,Marketplace,Eclipse Protocol,Extracted,48,27,12,9,0,0,5,3,31,1417
Arcanist,Automatic Rifles,White,0,Machine Guns,White,0,Postmaster,7,Aristocratic Ward,Incursion,Extracted,56,36,11,8,1,2,3,4,25,1320
Occultist,Revolvers,Orange,0,Bolt Action Rifles,White,0,Theory of Captivity,7,Wilderness,Incursion,Extracted,10,8,1,1,0,0,1,3,6,354
Monolith,Trench Guns,Green,12,Lever Action Rifles,Purple,5,Korzuul's Head,9,Iron Slums,Elite Incursion,Extracted,133,83,33,15,2,0,8,8,63,2757
Arcanist,Automatic Rifles,White,0,Revolvers,Green,14,Theory of Captivity,4,Aristocratic Ward,Incursion,Extracted,26,16,6,4,0,0,1,3,11,661
Monolith,Bolt Action Rifles,White,0,Lever Action Rifles,Blue,10,Lunar Warhorn,3,Aristocratic Ward,Eclipse Protocol,Extracted,26,17,5,3,1,0,1,2,14,786
Monolith,Lever Action Rifles,White,0,Machine Guns,Blue,5,Lunar Warhorn,8,Wilderness,Incursion,Extracted,12,9,1,2,0,0,3,4,4,264
Immortal,Revolvers,Green,7,Trench Guns,Blue,7,Soul Reaper,13,Marketplace,Invasion,Extracted,35,22,7,6,0,0,6,5,31,1237
Wraith,Machine Guns,Purple,2,Automatic Rifles,Green,14,Fear & Loathing,9,Foundry Sector,Eclipse Protocol,Fallen,8,5,2,1,0,4,1,1,4,245
Wraith,Lever Action Rifles,White,0,Automatic Rifles,Purple,2,Theory of Captivity,12,Marketplace,Incursion,Extracted,16,11,3,2,0,2,1,0,17,823
Hellion,Automatic Rifles,Blue,1,Bolt Action Rifles,Green,10,Wurm Food,12,Foundry Sector,Eclipse Protocol,Extracted,3,3,0,0,0,1,0,0,2,179
Monolith,Revolvers,Purple,3,Lever Action Rifles,Green,7,Fear & Loathing,5,Marketplace,Elite Incursion,Extracted,32,18,8,5,1,0,4,4,40,1271
Hellion,Machine Guns,White,0,Revolvers,White,0,Wurm Food,4,Marketplace,Elite Incursion,Extracted,13,8,3,2,0,2,1,3,19,800
Immortal,Lever Action Rifles,Blue,7,Revolvers,Blue,4,Farsight,7,Military District,Incursion,Extracted,6,4,1,1,0,3,0,1,5,260
Monolith,Bolt Action Rifles,Green,5,Lever Action Rifles,White,0,Wurm Food,8,Iron Slums,Elite Incursion,Extracted,11,8,3,0,0,1,3,2,11,662
Wraith,Bolt Action Rifles,Blue,2,Machine Guns,White,0,Lunar Warhorn,6,Iron Slums,Incursion,Extracted,21,14,5,2,0,0,4,1,22,691
Hellion,Trench Guns,White,0,Bolt Action Rifles,Blue,7,Postmaster,3,Marketplace,Elite Incursion,Extracted,11,9,2,0,0,2,2,2,16,501
Hellion,Machine Guns,Blue,4,Bolt Action Rifles,Blue,2,Wurm Food,12,Wilderness,Elite Incursion,Extracted,22,14,4,3,1,2,3,2,18,680
Wraith,Lever Action Rifles,Green,6,Machine Guns,Purple,5,Fear & Loathing,7,Aristocratic Ward,Invasion,Extracted,24,15,6,3,0,0,1,1,19,562
Monolith,Automatic Rifles,Purple,4,Lever Action Rifles,Green,14,Warden,6,Iron Slums,Invasion,Fallen,45,30,7,8,0,4,2,4,34,1100
Wraith,Revolvers,Purple,1,Machine Guns,Blue,10,Korzuul's Head,2,Iron Slums,Eclipse Protocol,Extracted,27,19,5,3,0,0,3,0,18,673
Immortal,Lever Action Rifles,Green,15,Lever Action Rifles,Blue,2,Farsight,15,Aristocratic Ward,Incursion,Extracted,6,5,1,0,0,1,0,0,5,194
Arcanist,Machine Guns,White,0,Machine Guns,Green,2,Warden,9,Aristocratic Ward,Lair,Extracted,28,20,4,3,1,1,2,2,27,1247
Immortal,Revolvers,Green,1,Trench Guns,White,0,Wolfpack,9,Iron Slums,Eclipse Protocol,Extracted,6,5,1,0,0,0,1,0,8,392
Arcanist,Automatic Rifles,Blue,8,Trench Guns,White,0,Wurm Food,9,Wilderness,Invasion,Extracted,33,19,9,4,1,0,2,4,20,1213
Monolith,Machine Guns,Blue,5,Machine Guns,White,0,Warden,5,Marketplace,Incursion,Extracted,28,16,6,4,2,0,3,4,11,803
Wraith,Revolvers,Green,7,Revolvers,Green,11,Wurm Food,8,Aristocratic Ward,Incursion,Extracted,48,27,12,9,0,0,3,3,27,1009
Monolith,Lever Action Rifles,Purple,5,Revolvers,Green,13,Lunar Warhorn,6,Iron Slums,Incursion,Extracted,10,7,2,1,0,0,2,1,11,545
Hellion,Lever Action Rifles,White,0,Bolt Action Rifles,Green,15,Wolfpack,9,Marketplace,Incursion,Extracted,8,6,1,1,0,2,0,0,7,216
Wraith,Automatic Rifles,Purple,1,Lever Action Rifles,Orange,0,Wurm Food,6,Iron Slums,Incursion,Extracted,35,20,9,4,2,0,3,5,20,1103
Hellion,Machine Guns,Purple,4,Bolt Action Rifles,Blue,3,Fear & Loathing,10,Marketplace,Elite Incursion,Extracted,31,19,8,4,0,2,4,3,45,1453
Monolith,Bolt Action Rifles,Green,1,Trench Guns,Orange,0,Soul Reaper,12,Military District,Elite Incursion,Fallen,26,17,5,3,1,3,2,2,47,1413
Immortal,Bolt Action Rifles,White,0,Revolvers,Blue,1,Wurm Food,8,Wilderness,Eclipse Protocol,Extracted,46,25,13,4,4,1,2,2,47,1701
Arcanist,Machine Guns,White,0,Trench Guns,Orange,0,Wolfpack,14,Military District,Elite Incursion,Fallen,128,78,29,21,0,2,10,7,61,3497
Occultist,Lever Action Rifles,White,0,Revolvers,White,0,Theory of Captivity,5,Iron Slums,Eclipse Protocol,Fallen,36,23,7,6,0,1,3,3,23,1192
Arcanist,Revolvers,Blue,6,Lever Action Rifles,Blue,3,Theory of Captivity,8,Marketplace,Elite Incursion,Extracted,48,25,14,7,2,1,2,1,22,1478
Arcanist,Automatic Rifles,Blue,4,Automatic Rifles,Purple,4,Theory of Captivity,13,Foundry Sector,Elite Incursion,Fallen,53,34,9,7,3,1,3,2,41,1489
Monolith,Lever Action Rifles,Orange,0,Lever Action Rifles,Purple,4,Postmaster,11,Military District,Elite Incursion,Extracted,7,5,1,0,1,2,1,1,7,537
Occultist,Lever Action Rifles,White,0,Trench Guns,Green,10,Soul Reaper,6,Iron Slums,Eclipse Protocol,Fallen,14,10,2,1,1,3,3,3,14,412
Hellion,Automatic Rifles,Blue,4,Automatic Rifles,White,0,Soul Reaper,11,Iron Slums,Eclipse Protocol,Extracted,39,23,7,5,4,0,3,3,32,1791
Wraith,Revolvers,Green,9,Lever Action Rifles,Green,1,Lunar Warhorn,10,Aristocratic Ward,Invasion,Extracted,18,12,4,1,1,2,1,1,22,699
Arcanist,Bolt Action Rifles,Green,2,Bolt Action Rifles,Blue,6,Wurm Food,14,Foundry Sector,Incursion,Extracted,53,31,12,7,3,0,2,1,26,1196
Wraith,Lever Action Rifles,White,0,Lever Action Rifles,Blue,9,Korzuul's Head,1,Aristocratic Ward,Incursion,Extracted,58,36,9,10,3,2,6,6,52,1890
Arcanist,Automatic Rifles,White,0,Automatic Rifles,Purple,5,Lunar Warhorn,4,Foundry Sector,Eclipse Protocol,Extracted,11,8,1,1,1,0,2,1,8,370
Occultist,Revolvers,Blue,10,Machine Guns,Blue,1,Korzuul's Head,4,Marketplace,Incursion,Extracted,2,2,0,0,0,1,0,0,2,112
Hellion,Bolt Action Rifles,Blue,8,Automatic Rifles,Blue,8,Wolfpack,15,Aristocratic Ward,Incursion,Extracted,4,3,1,0,0,1,1,0,3,115
Immortal,Trench Guns,White,0,Trench Guns,Green,8,Warden,9,Marketplace,Incursion,Extracted,14,10,3,1,0,1,3,2,15,951
Monolith,Lever Action Rifles,Blue,10,Machine Guns,Orange,0,Wolfpack,9,Aristocratic Ward,Incursion,Extracted,10,8,1,1,0,0,4,3,29,1076
Wraith,Machine Guns,Green,2,Revolvers,White,0,Korzuul's Head,13,Military District,Incursion,Extracted,19,13,4,2,0,0,3,4,18,577
Arcanist,Bolt Action Rifles,White,0,Trench Guns,Orange,0,Wurm Food,6,Military District,Lair,Extracted,31,18,5,5,3,0,2,2,21,905
Occultist,Machine Guns,Green,7,Bolt Action Rifles,Blue,6,Warden,13,Aristocratic Ward,Eclipse Protocol,Extracted,70,44,15,8,3,3,11,5,101,3577
Arcanist,Revolvers,White,0,Trench Guns,Green,3,Lunar Warhorn,13,Marketplace,Invasion,Extracted,11,8,2,1,0,1,0,0,22,1006
Arcanist,Machine Guns,Purple,3,Machine Guns,White,0,Lunar Warhorn,8,Iron Slums,Incursion,Extracted,16,11,3,2,0,1,2,1,14,722
Occultist,Machine Guns,White,0,Machine Guns,Purple,3,Soul Reaper,14,Aristocratic Ward,Eclipse Protocol,Extracted,25,15,4,2,4,1,2,2,34,1153
Wraith,Automatic Rifles,Green,8,Revolvers,Green,7,Korzuul's Head,7,Iron Slums,Incursion,Extracted,90,53,23,12,2,1,8,5,47,2633
Immortal,Lever Action Rifles,Green,14,Trench Guns,Blue,4,Korzuul's Head,11,Iron Slums,Invasion,Fallen,19,14,3,2,0,1,1,2,13,563
Monolith,Bolt Action Rifles,White,0,Machine Guns,Blue,2,Postmaster,9,Wilderness,Lair,Extracted,24,14,5,3,2,0,4,2,24,803
Wraith,Bolt Action Rifles,Blue,1,Bolt Action Rifles,Blue,1,Wurm Food,9,Wilderness,Incursion,Extracted,9,7,2,0,0,0,2,0,4,194
Arcanist,Trench Guns,Purple,3,Machine Guns,Purple,4,Theory of Captivity,7,Foundry Sector,Invasion,Extracted,2,2,0,0,0,3,1,0,2,116
Immortal,Lever Action Rifles,Green,5,Machine Guns,Green,5,Fear & Loathing,8,Military District,Incursion,Extracted,35,25,8,2,0,1,5,3,21,1391
Hellion,Revolvers,White,0,Automatic Rifles,White,0,Wurm Food,10,Aristocratic Ward,Invasion,Extracted,51,30,14,6,1,2,4,7,27,1035
Monolith,Lever Action Rifles,Orange,0,Lever Action Rifles,Green,11,Farsight,7,Foundry Sector,Lair,Extracted,20,12,5,3,0,0,2,4,17,515
Wraith,Machine Guns,Green,13,Automatic Rifles,Orange,0,Theory of Captivity,9,Iron Slums,Incursion,Fallen,14,11,2,1,0,2,1,2,10,657
Monolith,Automatic Rifles,Green,5,Bolt Action Rifles,White,0,Soul Reaper,14,Iron Slums,Elite Incursion,Extracted,73,44,21,7,1,3,3,1,90,3231
Monolith,Machine Guns,Purple,2,Bolt Action Rifles,Green,8,Warden,14,Foundry Sector,Lair,Extracted,8,6,2,0,0,2,3,2,8,371
Monolith,Machine Guns,Purple,5,Machine Guns,White,0,Fear & Loathing,7,Military District,Elite Incursion,Fallen,125,78,19,19,9,3,12,10,73,3323
Arcanist,Trench Guns,White,0,Lever Action Rifles,Purple,5,Wurm Food,9,Foundry Sector,Invasion,Extracted,15,11,3,1,0,0,1,1,18,585
Monolith,Automatic Rifles,White,0,Machine Guns,Green,7,Warden,10,Iron Slums,Incursion,Extracted,21,14,5,2,0,2,2,5,27,758
Immortal,Machine Guns,Purple,2,Machine Guns,Green,10,Wolfpack,0,Wilderness,Incursion,Extracted,23,14,6,3,0,2,1,3,9,558
